Business Age (years), Annual Revenue (RM), Credit Score, Loan Amount Requested (RM), Loan Term (months), Monthly Repayment (RM), Repayment Status
                  12,             1152000,          850,                     305000,                 12,                  26655,                0
                   9,             4817000,          850,                     732000,                 12,                  64086,                1
                   7,             1461000,          815,                     159000,                 36,                   5084,                1
                  14,             3390000,          850,                     828000,                 36,                  26443,                1
                  20,             3883000,          850,                    1606000,                 24,                  73595,                1
                  19,             4907000,          850,                    1602000,                 24,                  73426,                1
                  15,             1898000,          850,                     427000,                 24,                  19581,                1
                  16,              969000,          850,                     351000,                 12,                  30686,                0
                   5,             4948000,          807,                     954000,                 24,                  43725,                1
                   3,             4067000,          762,                     430000,                 12,                  37634,                1
                  12,              395000,          838,                     160000,                 12,                  14018,                0
                  20,             1125000,          850,                     393000,                 60,                   8191,                1
                   4,             4676000,          738,                    1893000,                 36,                  60479,                1
                  16,             3612000,          850,                     417000,                 36,                  13335,                1
                   7,             2428000,          850,                    1056000,                 24,                  48390,                1
                  13,             1184000,          850,                     412000,                 24,                  18876,                1
                  10,             4528000,          850,                    1473000,                 24,                  67522,                1
                   7,             2525000,          814,                     883000,                 12,                  77292,                0
                  14,             2492000,          850,                    1111000,                 12,                  97211,                0
                   5,             4488000,          850,                    1502000,                 36,                  47992,                1
                   3,             4592000,          704,                    1526000,                 36,                  48756,                1
                  11,             1269000,          850,                     630000,                 36,                  20113,                1
                  11,             1706000,          850,                     687000,                 24,                  31482,                1
                  18,             4027000,          850,                    1115000,                 60,                  23232,                1
                  15,             3118000,          850,                    1194000,                 12,                 104490,                0
                  12,             4575000,          850,                    1170000,                 24,                  53617,                1
                   9,              568000,          850,                     109000,                 24,                   4989,                1
                  10,             2932000,          850,                     993000,                 36,                  31726,                1
                  12,              848000,          850,                     400000,                 60,                   8325,                1
                  17,              129000,          850,                      61000,                 24,                   2790,                0
                   6,             2706000,          850,                     641000,                 48,                  16016,                1
                   7,             4048000,          850,                    1259000,                 48,                  31477,                1
                  14,             2924000,          850,                     540000,                 24,                  24749,                1
                  13,             4898000,          850,                    2441000,                 24,                 111861,                0
                   8,             1855000,          774,                     913000,                 24,                  41860,                0
                  10,             2988000,          819,                    1075000,                 60,                  22399,                1
                   9,              660000,          850,                     278000,                 12,                  24356,                0
                  18,             4960000,          850,                    1915000,                 36,                  61163,                1
                   2,              829000,          687,                     279000,                 24,                  12807,                1
                   5,             3353000,          850,                     407000,                 36,                  12998,                1
                   5,             4404000,          803,                    1242000,                 24,                  56907,                1
                   6,              439000,          827,                     162000,                 36,                   5182,                1
                  19,             1816000,          850,                     674000,                 48,                  16843,                1
                   8,             2829000,          850,                     705000,                 48,                  17625,                1
                  16,             3202000,          850,                    1526000,                 48,                  38156,                1
                  13,             3260000,          850,                     544000,                 12,                  47620,                1
                   1,             2430000,          654,                     729000,                 36,                  23297,                1
                  20,             2439000,          850,                     918000,                 12,                  80331,                0
                  17,              214000,          850,                      81000,                 24,                   3716,                1
                   7,             4838000,          809,                    1739000,                 36,                  55551,                1
                  13,             1487000,          850,                     312000,                 24,                  14315,                1
                   4,             2593000,          811,                     421000,                 36,                  13456,                1
                   4,             3441000,          799,                    1219000,                 60,                  25403,                1
                   6,             3663000,          808,                    1244000,                 12,                 108892,                0
                  19,             4209000,          850,                     723000,                 36,                  23088,                1
                  12,             1396000,          850,                     533000,                 24,                  24448,                1
                   7,             4581000,          803,                    1292000,                 12,                 113060,                0
                  10,             1829000,          850,                     671000,                 12,                  58737,                0
                  19,               72000,          850,                      32000,                 60,                    656,                1
                   7,             1293000,          846,                     217000,                 48,                   5427,                1
                   3,              697000,          814,                      75000,                 60,                   1563,                1
                  13,              623000,          850,                     257000,                 60,                   5346,                1
                  13,             4513000,          850,                    1552000,                 24,                  71127,                1
                  18,             4420000,          850,                    1679000,                 24,                  76959,                1
                  20,             2100000,          850,                     914000,                 36,                  29198,                1
                   8,             1318000,          850,                     555000,                 24,                  25445,                1
                   9,             1998000,          822,                     968000,                 24,                  44350,                0
                   7,             1680000,          850,                     528000,                 24,                  24204,                1
                   1,             1935000,          758,                     572000,                 36,                  18260,                1
                   3,             3932000,          786,                    1025000,                 36,                  32753,                1
                  13,             4923000,          850,                     795000,                 12,                  69558,                1
                  17,              101000,          850,                      33000,                 24,                   1521,                1
                   1,             4896000,          741,                    1032000,                 36,                  32967,                1
                   6,             4051000,          846,                    1898000,                 36,                  60626,                1
                   6,              771000,          833,                     257000,                 24,                  11777,                1
                  12,             2041000,          850,                     688000,                 36,                  21981,                1
                  13,             4569000,          850,                    1106000,                 12,                  96741,                0
                  13,             1674000,          850,                     202000,                 24,                   9267,                1
                  15,             1494000,          850,                     168000,                 36,                   5377,                1
                  16,             4459000,          850,                    1201000,                 36,                  38367,                1
                  11,             2908000,          850,                     389000,                 24,                  17835,                1
                   5,             1256000,          850,                     430000,                 36,                  13747,                1
                   4,               83000,          713,                      38000,                 36,                   1204,                1
                   3,              377000,          819,                     171000,                 36,                   5457,                1
                  19,              414000,          850,                     151000,                 36,                   4813,                1
                  20,             1359000,          850,                     251000,                 36,                   8006,                1
                  18,             4117000,          850,                    1833000,                 24,                  83999,                1
                  15,              993000,          850,                     451000,                 12,                  39492,                0
                   9,             4044000,          850,                     722000,                 24,                  33112,                1
                  17,             1648000,          850,                     651000,                 24,                  29827,                1
                  14,              151000,          850,                      32000,                 36,                   1033,                1
                  15,              208000,          850,                      87000,                 36,                   2793,                1
                   1,             2901000,          803,                    1447000,                 24,                  66340,                0
                   3,             1276000,          698,                     143000,                 12,                  12504,                1
                  16,             1197000,          850,                     549000,                 24,                  25180,                0
                  11,             3131000,          831,                    1093000,                 24,                  50091,                1
                  12,             3879000,          850,                    1898000,                 36,                  60637,                1
                  10,             2753000,          850,                     787000,                 12,                  68904,                0
                  16,             4974000,          850,                    2183000,                 36,                  69743,                1
                   8,             1919000,          844,                     240000,                 60,                   4994,                1
                   6,             4343000,          787,                    1017000,                 12,                  88967,                1
                  12,             4397000,          850,                     558000,                 24,                  25553,                1
                   8,             4864000,          850,                    2384000,                 12,                 208588,                0
                   4,             4805000,          850,                    2051000,                 36,                  65515,                1
                   8,              983000,          850,                     433000,                 36,                  13845,                1
                  18,             4386000,          850,                    2084000,                 24,                  95517,                0
                   5,             3328000,          797,                     446000,                 36,                  14251,                1
                   9,             3013000,          850,                     766000,                 48,                  19148,                1
                   4,             2230000,          722,                     286000,                 12,                  25060,                1
                  17,             2043000,          850,                     377000,                 12,                  32946,                1
                   9,             3883000,          850,                     745000,                 48,                  18613,                1
                   1,             4166000,          848,                    1198000,                 36,                  38277,                1
                  20,              645000,          850,                     134000,                 48,                   3342,                1
                  13,             2100000,          850,                     295000,                 36,                   9417,                1
                  16,             3224000,          850,                     538000,                 48,                  13460,                1
                  13,             2782000,          850,                     442000,                 24,                  20259,                1
                  14,              314000,          850,                     154000,                 36,                   4915,                1
                   3,             2217000,          812,                     895000,                 60,                  18650,                1
                   6,             3026000,          815,                    1474000,                 36,                  47085,                1
                  18,              689000,          850,                     190000,                 12,                  16639,                0
                  19,             2954000,          850,                     624000,                 24,                  28611,                1
                   5,             1990000,          820,                     835000,                 12,                  73027,                0
                  15,             3998000,          850,                     922000,                 24,                  42240,                1
                   2,             1267000,          765,                     278000,                 24,                  12761,                1
                  10,             1082000,          850,                     209000,                 36,                   6667,                1
                  18,              839000,          850,                     127000,                 36,                   4072,                1
                  13,             4729000,          850,                     958000,                 24,                  43906,                1
                   5,             1440000,          850,                     349000,                 36,                  11140,                1
                   1,             3991000,          795,                    1475000,                 12,                 129071,                0
                   1,             2372000,          747,                     297000,                 12,                  25954,                1
                  18,             1901000,          850,                     350000,                 12,                  30644,                1
                  15,             1997000,          850,                     846000,                 36,                  27021,                1
                  17,             2664000,          850,                     423000,                 24,                  19386,                1
                  11,             1619000,          850,                     384000,                 24,                  17585,                1
                  17,             4710000,          850,                    2100000,                 24,                  96252,                1
                  13,             2655000,          850,                     430000,                 48,                  10751,                1
                   1,             2279000,          682,                     303000,                 12,                  26542,                1
                   2,             2379000,          720,                     699000,                 36,                  22324,                1
                   9,             1046000,          813,                     231000,                 36,                   7382,                1
                   3,             4239000,          804,                    1379000,                 36,                  44057,                1
                   1,              676000,          835,                     285000,                 60,                   5936,                1
                  16,             4081000,          850,                     632000,                 12,                  55304,                1
                   6,             4546000,          850,                    1510000,                 12,                 132158,                0
                  17,             1475000,          850,                     446000,                 48,                  11143,                1
                   5,             1442000,          726,                     227000,                 24,                  10414,                1
                   5,             2414000,          794,                     844000,                 36,                  26958,                1
                   6,              770000,          786,                     161000,                 36,                   5155,                1
                   3,             4841000,          767,                    1429000,                 36,                  45637,                1
                   5,              469000,          797,                      62000,                 60,                   1298,                1
                   5,             2834000,          799,                     804000,                 60,                  16760,                1
                  10,             4276000,          803,                     952000,                 36,                  30403,                1
                  10,             1514000,          850,                     649000,                 24,                  29761,                1
                  19,             3142000,          850,                     386000,                 48,                   9645,                1
                  17,             1666000,          850,                     446000,                 12,                  38996,                0
                  14,              339000,          850,                      96000,                 24,                   4404,                1
                   9,             1387000,          830,                     541000,                 48,                  13520,                1
                  14,             3110000,          832,                    1025000,                 24,                  46998,                1
                   1,             2427000,          747,                     890000,                 24,                  40812,                1
                  19,             2848000,          850,                    1170000,                 12,                 102367,                0
                  13,             1141000,          850,                     508000,                 48,                  12688,                1
                  13,             4494000,          850,                    1014000,                 36,                  32377,                1
                   4,             4212000,          837,                    1328000,                 36,                  42412,                1
                   1,             3060000,          741,                    1334000,                 24,                  61156,                1
                  17,              310000,          850,                     154000,                 36,                   4911,                1
                   8,             3018000,          850,                    1376000,                 36,                  43950,                1
                   2,             3092000,          704,                     769000,                 24,                  35230,                1
                   8,             2668000,          850,                     475000,                 24,                  21775,                1
                   7,             4264000,          850,                    1261000,                 24,                  57804,                1
                   2,             4402000,          837,                    1746000,                 60,                  36377,                1
                   3,             3612000,          800,                    1073000,                 36,                  34274,                1
                  18,             1308000,          850,                     384000,                 60,                   7991,                1
                  12,             3022000,          850,                    1315000,                 24,                  60291,                1
                   1,             3900000,          780,                     954000,                 36,                  30470,                1
                  12,             4009000,          850,                    1780000,                 36,                  56851,                1
                   5,             3784000,          850,                     994000,                 36,                  31760,                1
                  17,             3372000,          850,                     780000,                 60,                  16247,                1
                  16,              438000,          850,                     123000,                 24,                   5654,                1
                  15,             4935000,          850,                    1998000,                 12,                 174867,                0
                  15,             3159000,          850,                     475000,                 36,                  15178,                1
                   5,             4867000,          826,                     869000,                 36,                  27762,                1
                  14,             4970000,          850,                    2388000,                 36,                  76295,                1
                   2,             2249000,          839,                     383000,                 24,                  17540,                1
                  11,             2011000,          850,                     658000,                 36,                  21010,                1
                  19,             2895000,          850,                     960000,                 24,                  44010,                1
                   7,             2663000,          823,                     788000,                 24,                  36113,                1
                   6,             1428000,          850,                     511000,                 36,                  16330,                1
                   2,             2474000,          670,                     475000,                 36,                  15168,                1
                   6,             2140000,          850,                     687000,                 24,                  31494,                1
                  18,             4222000,          850,                    1051000,                 24,                  48155,                1
                   2,             2292000,          787,                     836000,                 24,                  38307,                1
                  18,              203000,          850,                      32000,                 12,                   2779,                1
                  15,             4593000,          850,                    1508000,                 36,                  48175,                1
                  19,              111000,          850,                      19000,                 60,                    403,                1
                   2,              803000,          798,                     170000,                 24,                   7785,                1
                  20,             4650000,          850,                     872000,                 36,                  27849,                1
                   6,             3055000,          843,                     529000,                 48,                  13224,                1
                   1,             2904000,          753,                    1250000,                 48,                  31240,                1
                  15,             1334000,          850,                     286000,                 12,                  25019,                1
                  10,             3903000,          850,                    1838000,                 60,                  38289,                1
                  19,             2705000,          850,                    1320000,                 24,                  60494,                0
                  17,             3534000,          850,                    1161000,                 24,                  53213,                1
                   5,             1092000,          667,                     172000,                 12,                  15025,                1
                   4,             4627000,          846,                    1156000,                 24,                  52979,                1
                  10,             3307000,          850,                    1386000,                 12,                 121276,                0
                  17,              974000,          850,                     240000,                 24,                  11022,                1
                  10,             2916000,          850,                     393000,                 24,                  18019,                1
                  17,             2518000,          850,                     813000,                 48,                  20316,                1
                  20,             4458000,          850,                    1953000,                 48,                  48819,                1
                   5,             1993000,          781,                     834000,                 24,                  38212,                1
                   2,              348000,          777,                      59000,                 48,                   1479,                1
                   6,              367000,          769,                     136000,                 48,                   3389,                1
                   2,             1376000,          702,                     259000,                 36,                   8274,                1
                  13,              142000,          850,                      27000,                 12,                   2332,                1
                  11,             2371000,          850,                    1066000,                 36,                  34050,                1
                  11,             1856000,          850,                     371000,                 60,                   7727,                1
                  16,             1371000,          850,                     281000,                 36,                   8988,                1
                  11,             4270000,          850,                     428000,                 24,                  19624,                1
                  19,             4586000,          850,                    2056000,                 36,                  65671,                1
                  15,             4065000,          850,                    1695000,                 36,                  54160,                1
                  16,             4705000,          850,                    1651000,                 36,                  52742,                1
                  11,             3327000,          850,                    1331000,                 12,                 116490,                0
                  16,             3672000,          850,                     591000,                 24,                  27066,                1
                   8,             2590000,          850,                     734000,                 48,                  18348,                1
                   4,             4279000,          848,                    1029000,                 48,                  25726,                1
                   8,              988000,          850,                     136000,                 12,                  11885,                1
                   4,             1617000,          850,                     476000,                 60,                   9919,                1
                   3,             1967000,          788,                     921000,                 24,                  42209,                0
                   3,             2894000,          749,                     336000,                 36,                  10725,                1
                  18,             4598000,          850,                     996000,                 36,                  31809,                1
                  19,             3982000,          850,                     729000,                 48,                  18221,                1
                  19,             1257000,          850,                     245000,                 60,                   5113,                1
                   5,             4414000,          820,                    2046000,                 24,                  93753,                0
                  18,              444000,          850,                     128000,                 48,                   3190,                1
                  10,             4462000,          850,                    1278000,                 12,                 111854,                0
                   6,             1437000,          737,                     581000,                 36,                  18555,                1
                   1,             1258000,          766,                     204000,                 36,                   6502,                1
                   5,             2906000,          823,                     857000,                 36,                  27376,                1
                   9,             2998000,          843,                     815000,                 24,                  37371,                1
                  12,             2443000,          850,                     828000,                 48,                  20692,                1
                  14,             3090000,          850,                    1545000,                 12,                 135151,                0
                   2,             3892000,          701,                    1587000,                 12,                 138880,                0
                  17,             1347000,          850,                     349000,                 36,                  11151,                1
                  14,             1231000,          850,                     531000,                 24,                  24316,                1
                  13,             1858000,          850,                     313000,                 48,                   7815,                1
                   9,             4490000,          850,                     504000,                 24,                  23086,                1
                  15,             2798000,          850,                     509000,                 12,                  44510,                1
                  15,             3765000,          850,                     889000,                 48,                  22230,                1
                  11,             1974000,          809,                     601000,                 36,                  19188,                1
                  16,             1946000,          850,                     673000,                 12,                  58930,                0
                  17,             3189000,          850,                    1480000,                 36,                  47288,                1
                   4,              196000,          784,                      60000,                 36,                   1907,                1
                   1,             1417000,          770,                     426000,                 36,                  13604,                1
                   8,             1105000,          850,                     133000,                 24,                   6083,                1
                  17,             2478000,          850,                     282000,                 48,                   7060,                1
                   3,             3729000,          645,                    1195000,                 48,                  29876,                0
                  20,             3695000,          850,                    1017000,                 36,                  32490,                1
                  15,             4323000,          850,                    1884000,                 12,                 164815,                0
                  15,             4256000,          850,                     699000,                 48,                  17480,                1
                  14,             3235000,          850,                     356000,                 36,                  11365,                1
                  14,             2956000,          850,                     827000,                 36,                  26407,                1
                   2,             4191000,          822,                     817000,                 24,                  37458,                1
                  13,             1625000,          850,                     195000,                 48,                   4868,                1
                  14,             2977000,          850,                    1161000,                 36,                  37077,                1
                  19,             2099000,          850,                     304000,                 12,                  26562,                1
                   7,             1220000,          850,                     419000,                 24,                  19204,                1
                   3,             3697000,          850,                     785000,                 48,                  19631,                1
                  15,              697000,          850,                     118000,                 12,                  10335,                1
                  14,             1599000,          850,                     403000,                 60,                   8393,                1
                  11,             3173000,          850,                    1334000,                 36,                  42629,                1
                  15,             1729000,          850,                     444000,                 36,                  14183,                1
                  13,              850000,          850,                     340000,                 24,                  15597,                1
                  18,             4151000,          850,                     623000,                 24,                  28572,                1
                   6,             2009000,          808,                     822000,                 60,                  17126,                1
                   3,             1015000,          790,                     198000,                 24,                   9060,                1
                  19,              547000,          850,                     203000,                 36,                   6479,                1
                  15,             4693000,          850,                    1531000,                 24,                  70187,                1
                   5,               79000,          787,                      37000,                 12,                   3244,                0
                  10,             2884000,          850,                     735000,                 12,                  64321,                0
                   7,             3482000,          839,                     440000,                 36,                  14066,                1
                  17,             1327000,          850,                     143000,                 60,                   2975,                1
                   7,             4093000,          850,                    1763000,                 24,                  80797,                1
                  12,             4732000,          850,                    1467000,                 24,                  67215,                1
                  17,             2578000,          850,                    1057000,                 24,                  48448,                1
                  13,              366000,          850,                      71000,                 36,                   2266,                1
                  20,             3095000,          850,                     737000,                 24,                  33769,                1
                   4,             3194000,          768,                     358000,                 48,                   8947,                1
                  10,             4346000,          850,                    2106000,                 36,                  67271,                1
                   3,             3621000,          839,                    1329000,                 36,                  42466,                1
                   9,             2981000,          850,                    1411000,                 12,                 123434,                0
                  13,             2915000,          850,                     601000,                 60,                  12521,                1
                  18,             4156000,          850,                    1432000,                 24,                  65630,                1
                  15,             3668000,          850,                    1362000,                 12,                 119196,                0
                   4,             4402000,          832,                     999000,                 36,                  31926,                1
                  15,             4879000,          850,                    2143000,                 36,                  68455,                1
                   2,             3990000,          795,                    1911000,                 24,                  87578,                0
                  15,             4707000,          850,                    2137000,                 24,                  97934,                1
                   8,             2677000,          746,                    1059000,                 36,                  33833,                1
                   8,             2876000,          850,                     607000,                 12,                  53092,                1
                  17,             4987000,          850,                    1060000,                 48,                  26510,                1
                  12,             2089000,          850,                    1014000,                 36,                  32380,                1
                  19,             4927000,          850,                     513000,                 24,                  23510,                1
                  10,             2790000,          850,                    1078000,                 24,                  49412,                1
                   9,             2670000,          850,                    1021000,                 24,                  46807,                1
                   5,              771000,          820,                     269000,                 36,                   8601,                1
                   6,              570000,          791,                     283000,                 36,                   9028,                1
                  20,             3749000,          850,                     843000,                 24,                  38620,                1
                   2,             2938000,          809,                     693000,                 36,                  22145,                1
                  13,             4281000,          850,                     563000,                 60,                  11733,                1
                   6,             2483000,          830,                     688000,                 24,                  31532,                1
                   5,             4079000,          804,                     834000,                 60,                  17370,                1
                   1,             4081000,          767,                     969000,                 24,                  44401,                1
                   6,             3441000,          850,                    1493000,                 12,                 130610,                0
                   6,              206000,          740,                      98000,                 24,                   4488,                0
                  16,             2937000,          850,                     512000,                 24,                  23464,                1
                   4,             4639000,          785,                    1155000,                 24,                  52942,                1
                  11,             2787000,          850,                    1314000,                 12,                 114952,                0
                   9,             1150000,          849,                     143000,                 60,                   2989,                1
                   3,             1627000,          780,                     223000,                 48,                   5568,                1
                  19,             2012000,          850,                     332000,                 36,                  10612,                1
                   8,             4083000,          850,                    1380000,                 12,                 120774,                0
                   5,              714000,          826,                     114000,                 12,                  10014,                1
                   4,             3410000,          825,                    1662000,                 12,                 145384,                0
                   6,             3336000,          850,                     930000,                 36,                  29696,                1
                   2,              930000,          710,                     280000,                 60,                   5824,                1
                  20,             4603000,          850,                     914000,                 24,                  41912,                1
                  11,             3087000,          850,                     890000,                 12,                  77898,                0
                   4,             4324000,          846,                    1577000,                 36,                  50387,                1
                  15,             4046000,          850,                    1620000,                 24,                  74256,                1
                   6,             4878000,          766,                    1959000,                 24,                  89783,                1
                  17,             2093000,          850,                     693000,                 36,                  22139,                1
                   6,             1098000,          847,                     507000,                 36,                  16198,                1
                  19,             1552000,          850,                     663000,                 12,                  57982,                0
                   2,             2642000,          734,                    1064000,                 12,                  93109,                0
                  15,             1963000,          850,                     240000,                 60,                   4998,                1
                  11,             3828000,          850,                     393000,                 24,                  18025,                1
                   8,              275000,          850,                      51000,                 12,                   4451,                1
                  19,             1367000,          850,                     500000,                 12,                  43713,                0
                  13,             2912000,          850,                     770000,                 12,                  67377,                0
                  12,              797000,          850,                     208000,                 24,                   9537,                1
                   5,             1130000,          844,                     513000,                 48,                  12819,                1
                   6,             2431000,          809,                    1114000,                 24,                  51054,                0
                   4,             1705000,          795,                     790000,                 24,                  36228,                0
                  19,              455000,          850,                     103000,                 36,                   3276,                1
                  20,             1765000,          850,                     665000,                 36,                  21229,                1
                   1,              621000,          785,                     130000,                 48,                   3239,                1
                  20,             2125000,          850,                     375000,                 48,                   9364,                1
                  17,             2567000,          850,                     446000,                 12,                  39054,                1
                  12,             2136000,          850,                     506000,                 36,                  16162,                1
                  15,             3409000,          847,                     927000,                 24,                  42490,                1
                   1,             2829000,          754,                    1223000,                 60,                  25487,                1
                  14,             1964000,          850,                     291000,                 24,                  13316,                1
                   6,             2861000,          850,                    1127000,                 60,                  23481,                1
                   5,              599000,          807,                     187000,                 36,                   5979,                1
                  11,             2049000,          850,                     441000,                 24,                  20210,                1
                   4,             1037000,          799,                     308000,                 36,                   9847,                1
                  13,             4303000,          850,                     947000,                 60,                  19722,                1
                  11,             4207000,          850,                    1424000,                 48,                  35590,                1
                   3,             1752000,          844,                     479000,                 12,                  41925,                0
                   1,             3668000,          801,                     608000,                 36,                  19420,                1
                   6,             2917000,          850,                     428000,                 24,                  19606,                1
                  18,              309000,          850,                      98000,                 12,                   8602,                0
                  10,             1407000,          850,                     649000,                 24,                  29729,                0
                   5,              755000,          843,                     179000,                 24,                   8226,                1
                  10,             3989000,          850,                    1569000,                 48,                  39214,                1
                  12,              798000,          850,                     290000,                 24,                  13293,                1
                   2,             2839000,          749,                    1342000,                 48,                  33543,                1
                  13,             1302000,          850,                     558000,                 12,                  48807,                0
                   8,             4389000,          850,                    1434000,                 24,                  65705,                1
                   2,              474000,          698,                     172000,                 24,                   7885,                1
                  20,             3718000,          850,                    1708000,                 24,                  78269,                0
                   1,             3318000,          773,                     862000,                 12,                  75422,                0
                   5,             4168000,          829,                     962000,                 12,                  84141,                1
                   9,             3653000,          850,                     381000,                 36,                  12174,                1
                  17,             4945000,          850,                    2129000,                 24,                  97591,                1
                   9,              749000,          850,                     315000,                 24,                  14430,                1
                  11,             3952000,          850,                     560000,                 24,                  25678,                1
                  15,             3453000,          850,                    1142000,                 48,                  28552,                1
                   6,             4331000,          801,                    1237000,                 60,                  25766,                1
                   3,              805000,          775,                     119000,                 24,                   5441,                1
                  17,              225000,          850,                     111000,                 24,                   5080,                0
                   5,             4143000,          818,                     770000,                 12,                  67382,                1
                  12,             4308000,          850,                     547000,                 60,                  11388,                1
                  18,              316000,          850,                     107000,                 12,                   9338,                0
                  14,             1581000,          850,                     625000,                 24,                  28658,                1
                  11,             1933000,          846,                     218000,                 24,                  10011,                1
                   9,             3941000,          850,                    1433000,                 24,                  65658,                1
                   2,             3071000,          760,                     961000,                 12,                  84087,                0
                  12,              206000,          850,                      29000,                 36,                    928,                1
                   3,             3053000,          850,                     516000,                 12,                  45155,                1
                   3,             4877000,          826,                    1596000,                 36,                  50969,                1
                   1,             4781000,          713,                    1045000,                 12,                  91419,                1
                   8,             2038000,          850,                     969000,                 12,                  84752,                0
                   8,             1956000,          850,                     836000,                 60,                  17420,                1
                  11,             4811000,          850,                    2374000,                 12,                 207725,                0
                   9,             1505000,          850,                     307000,                 48,                   7672,                1
                   5,             4243000,          776,                    2070000,                 36,                  66125,                1
                  14,             1044000,          850,                     285000,                 12,                  24896,                0
                   3,             2760000,          730,                     660000,                 60,                  13741,                1
                   5,              262000,          788,                      31000,                 24,                   1441,                1
                   5,             3613000,          849,                     438000,                 48,                  10937,                1
                  19,             3379000,          850,                    1273000,                 12,                 111408,                0
                  14,             4806000,          850,                    1361000,                 48,                  34022,                1
                   4,              572000,          776,                     109000,                 12,                   9539,                1
                  13,             4110000,          850,                    1420000,                 36,                  45374,                1
                  10,             3796000,          850,                     764000,                 36,                  24391,                1
                  18,              125000,          850,                      42000,                 60,                    864,                1
                   8,             1826000,          783,                     445000,                 60,                   9268,                1
                   8,             2380000,          850,                    1022000,                 48,                  25547,                1
                   7,             1548000,          850,                     663000,                 48,                  16570,                1
                   8,             4071000,          850,                    1184000,                 12,                 103638,                0
                  14,             4479000,          850,                    1076000,                 24,                  49332,                1
                  19,             3539000,          850,                     867000,                 24,                  39748,                1
                   6,             2609000,          828,                    1102000,                 24,                  50495,                1
                   1,              551000,          815,                     127000,                 24,                   5842,                1
                  15,             2932000,          850,                     538000,                 36,                  17197,                1
                   1,             2799000,          840,                     375000,                 12,                  32787,                1
                  17,              245000,          850,                      70000,                 36,                   2245,                1
                   1,             3746000,          753,                    1097000,                 12,                  95994,                0
                  15,             2393000,          850,                    1044000,                 24,                  47867,                1
                   2,              561000,          791,                     106000,                 36,                   3378,                1
                  14,             1062000,          850,                     268000,                 36,                   8565,                1
                   8,              917000,          850,                     388000,                 36,                  12401,                1
                   8,               99000,          850,                      43000,                 36,                   1359,                1
                  19,             3106000,          850,                     789000,                 12,                  68994,                0
                   7,              914000,          850,                     259000,                 36,                   8278,                1
                  19,             4809000,          850,                    1064000,                 12,                  93125,                1
                   6,             4450000,          850,                    2105000,                 24,                  96478,                0
                   6,             1257000,          831,                     185000,                 24,                   8494,                1
                   3,             3170000,          762,                    1501000,                 12,                 131320,                0
                   7,             2941000,          850,                    1099000,                 24,                  50352,                1
                  19,             4987000,          850,                    1559000,                 60,                  32478,                1
                   8,             4786000,          850,                     541000,                 60,                  11274,                1
                  10,              308000,          850,                      89000,                 24,                   4092,                1
                  20,              144000,          850,                      38000,                 12,                   3315,                0
                  15,             2048000,          850,                     337000,                 12,                  29478,                1
                  15,             2105000,          850,                     763000,                 24,                  34976,                1
                   1,             3490000,          839,                    1705000,                 60,                  35512,                1
                  20,             4473000,          850,                    1453000,                 12,                 127163,                0
                   7,              892000,          826,                     344000,                 36,                  10998,                1
                   4,             4438000,          813,                     565000,                 12,                  49462,                1
                   6,             1543000,          769,                     412000,                 60,                   8586,                1
                   1,             2601000,          792,                     381000,                 24,                  17471,                1
                   5,             1175000,          850,                     405000,                 36,                  12952,                1
                   1,             3156000,          742,                    1500000,                 24,                  68764,                0
                   4,             4939000,          790,                    1801000,                 36,                  57544,                1
                   2,             3308000,          793,                     432000,                 12,                  37838,                1
                  10,              254000,          850,                      62000,                 12,                   5385,                0
                   5,             2030000,          816,                     650000,                 60,                  13546,                1
                  10,             3474000,          850,                     908000,                 60,                  18912,                1
                   1,             4800000,          756,                    2081000,                 48,                  52014,                1
                   6,              453000,          802,                     193000,                 36,                   6167,                1
                  13,             4622000,          850,                    1593000,                 48,                  39832,                1
                  15,             4361000,          850,                    1088000,                 12,                  95157,                0
                   4,             4128000,          803,                     834000,                 24,                  38241,                1
                  13,             4410000,          850,                     628000,                 24,                  28771,                1
                  20,             2141000,          850,                     518000,                 36,                  16544,                1
                  15,             1959000,          850,                     520000,                 24,                  23815,                1
                   8,             1598000,          832,                     592000,                 12,                  51783,                0
                   5,              544000,          713,                     198000,                 36,                   6312,                1
                  15,             4219000,          850,                     540000,                 48,                  13505,                1
                   4,             3794000,          777,                     979000,                 24,                  44883,                1
                  12,             4958000,          850,                     856000,                 12,                  74930,                1
                  13,              831000,          832,                     135000,                 12,                  11827,                1
                   2,             4516000,          827,                    1946000,                 24,                  89196,                1
                  19,             1604000,          850,                     187000,                 24,                   8585,                1
                  19,             1755000,          850,                     470000,                 36,                  15002,                1
                   4,             3816000,          812,                     638000,                 36,                  20389,                1
                   4,             2601000,          760,                    1175000,                 36,                  37538,                1
                  11,             3178000,          850,                    1026000,                 24,                  47017,                1
                   5,              885000,          846,                     170000,                 48,                   4260,                1
                  20,             2420000,          850,                     728000,                 24,                  33380,                1
                  11,             4051000,          850,                    1590000,                 24,                  72894,                1
                  10,             2438000,          850,                    1178000,                 48,                  29457,                1
                   8,             2934000,          790,                     552000,                 12,                  48306,                1
                   6,             4230000,          850,                    1923000,                 12,                 168228,                0
                   6,             3547000,          846,                    1680000,                 48,                  42002,                1
                   8,             4999000,          829,                    2332000,                 24,                 106891,                0
                  15,             1355000,          850,                     480000,                 36,                  15335,                1
