BusinessAge, AnnualRevenue, ExistingLoan, NoOfEmployees, ProfitMargin, LoanAmountRequested, IndustryRisk, DebttoIncomeRatio, LoanTenure, LoanToRevenueRatio, LoanDefault
          4,        182000,            0,            39,        29.47,               55000,            1,              53.0,          0,              30.22,           1
         11,        227000,            0,            12,        24.46,               28000,            1,              47.0,          0,              12.33,           0
          1,        204000,            1,            40,         3.16,               54000,            2,              99.0,         56,              26.47,           1
         12,        425000,            0,            40,         6.03,              106000,            2,              76.0,          0,              24.94,           1
          6,        174000,            1,            24,        17.96,               67000,            1,              89.0,         49,              38.51,           1
          1,        380000,            0,             9,        12.45,               53000,            1,              24.0,          0,              13.95,           1
         10,         92000,            1,            46,        24.94,                9000,            3,              66.0,          9,               9.78,           1
          6,        478000,            1,            20,        27.18,               67000,            3,              39.0,         17,              14.02,           1
          1,        330000,            0,             5,         9.5 ,               50000,            1,              74.0,          0,              15.15,           1
          6,        368000,            0,            20,        23.61,               64000,            2,              60.0,          0,              17.39,           0
         10,        184000,            0,            21,        17.46,               63000,            2,              54.0,          0,              34.24,           0
          8,        235000,            0,             2,        13.58,               50000,            1,              46.0,          0,              21.28,           1
         11,        151000,            0,            21,        24.24,               53000,            3,              51.0,          0,              35.1 ,           1
          2,        470000,            0,            42,        18.25,               85000,            2,              44.0,          0,              18.09,           0
          2,        270000,            1,            24,        20.15,               97000,            2,              46.0,         14,              35.93,           1
         14,        334000,            1,             9,         4.68,               34000,            2,              71.0,         51,              10.18,           1
         15,        380000,            0,            39,        18.82,              145000,            2,              80.0,          0,              38.16,           0
         13,        217000,            0,            30,        11.12,               70000,            2,              27.0,          0,              32.26,           0
         12,        374000,            1,            18,        16.32,               84000,            2,             105.0,         52,              22.46,           1
          4,        354000,            1,            44,         8.99,               97000,            3,              87.0,         58,              27.4 ,           1
         11,        368000,            1,            43,        19.59,              140000,            1,             100.0,         10,              38.04,           1
          3,        270000,            0,            10,         6.98,               74000,            2,              70.0,          0,              27.41,           1
          4,        222000,            1,            45,         6.32,               37000,            1,              95.0,         33,              16.67,           1
         13,        150000,            0,            41,         8.09,               41000,            1,              35.0,          0,              27.33,           1
         12,        421000,            1,            48,        25.07,              152000,            3,              73.0,          6,              36.1 ,           1
          7,        324000,            1,            21,         3.91,              128000,            1,              68.0,         40,              39.51,           1
         13,        250000,            1,            22,        22.7 ,               69000,            2,              46.0,         33,              27.6 ,           1
         11,        475000,            0,            17,         4.53,               70000,            2,              79.0,          0,              14.74,           1
          1,         72000,            1,             5,        18.98,               24000,            2,              81.0,          7,              33.33,           1
          6,        433000,            0,             6,        23.89,              173000,            1,              47.0,          0,              39.95,           1
         15,        499000,            0,            10,         9.24,              121000,            2,              80.0,          0,              24.25,           1
         15,        449000,            1,            43,         8.29,               97000,            2,              61.0,         38,              21.6 ,           1
          3,        415000,            0,             2,        10.81,              110000,            1,              40.0,          0,              26.51,           1
         11,        218000,            0,             7,        21.89,               33000,            1,              31.0,          0,              15.14,           1
         10,        154000,            1,            46,         9.88,               60000,            1,              49.0,          6,              38.96,           0
          7,        381000,            1,             4,        16.55,              134000,            1,              48.0,         57,              35.17,           0
         10,        187000,            1,            37,         6.63,               25000,            2,              82.0,         34,              13.37,           1
          2,        129000,            0,            19,        15.45,               49000,            2,              38.0,          0,              37.98,           0
         14,        404000,            1,            28,        19.87,              155000,            1,             100.0,         14,              38.37,           1
          2,        191000,            0,            20,         4.94,               37000,            1,              69.0,          0,              19.37,           1
         13,        461000,            1,            30,        25.02,              132000,            1,              56.0,         21,              28.63,           1
          4,        428000,            0,            42,        28.31,               57000,            2,              70.0,          0,              13.32,           1
          1,        431000,            1,            38,         8.23,               54000,            3,              54.0,         13,              12.53,           1
          3,        397000,            0,             2,        23.5 ,               99000,            2,              34.0,          0,              24.94,           0
         13,        446000,            1,             3,        11.46,               51000,            3,              85.0,         52,              11.43,           0
          9,        413000,            0,            47,        21.27,              150000,            2,              71.0,          0,              36.32,           1
          7,        321000,            0,            42,        11.28,              121000,            1,              78.0,          0,              37.69,           1
         15,        183000,            0,            49,        26.28,               22000,            1,              45.0,          0,              12.02,           1
          7,        450000,            1,            39,        12.37,               51000,            3,              76.0,         34,              11.33,           1
         13,        428000,            0,            25,        25.92,               71000,            1,              57.0,          0,              16.59,           0
         13,        263000,            0,             2,        23.69,              100000,            3,              58.0,          0,              38.02,           1
         11,         68000,            0,            39,         8.3 ,               22000,            2,              44.0,          0,              32.35,           1
          4,        337000,            1,            15,         7.24,              102000,            3,              43.0,         22,              30.27,           1
          2,         73000,            0,             3,        24.05,               24000,            1,              24.0,          0,              32.88,           1
         15,        467000,            0,             5,        13.54,               75000,            2,              74.0,          0,              16.06,           1
         14,        483000,            0,            40,        28.63,               85000,            2,              42.0,          0,              17.6 ,           0
          4,        135000,            1,            36,        28.46,               26000,            2,              58.0,         31,              19.26,           0
          6,        354000,            0,            40,        21.72,              100000,            3,              79.0,          0,              28.25,           1
         11,         92000,            1,            38,        16.52,               26000,            3,              87.0,         54,              28.26,           1
         11,        378000,            1,            37,         8.26,               61000,            1,              89.0,         13,              16.14,           1
          3,        206000,            0,            27,        26.82,               48000,            1,              37.0,          0,              23.3 ,           1
          1,        356000,            0,             5,         5.21,              109000,            2,              48.0,          0,              30.62,           1
         14,        218000,            1,            17,        13.0 ,               42000,            2,              91.0,         56,              19.27,           0
         12,        116000,            1,            38,        11.62,               14000,            1,              69.0,         39,              12.07,           1
          8,        233000,            1,            45,        28.88,               37000,            3,              68.0,         37,              15.88,           1
         12,        101000,            0,            41,         6.19,               15000,            2,              30.0,          0,              14.85,           1
         13,        310000,            0,            12,        27.03,               90000,            2,              54.0,          0,              29.03,           1
          5,         68000,            0,            42,        15.32,                8000,            1,              56.0,          0,              11.76,           0
         15,        287000,            0,            31,         4.28,              105000,            1,              63.0,          0,              36.59,           0
          5,        449000,            0,            33,        22.68,               56000,            3,              67.0,          0,              12.47,           1
         11,        427000,            0,            43,         5.72,              119000,            3,              27.0,          0,              27.87,           1
          4,        447000,            0,            29,         9.4 ,              169000,            2,              58.0,          0,              37.81,           1
          6,        465000,            0,            38,        24.59,               55000,            3,              67.0,          0,              11.83,           1
          3,         97000,            0,             3,         7.18,               21000,            1,              43.0,          0,              21.65,           1
          9,        108000,            0,            38,        11.79,               21000,            1,              37.0,          0,              19.44,           1
          5,        301000,            1,            41,        12.75,               61000,            3,              69.0,         53,              20.27,           1
          3,        452000,            0,            40,        18.9 ,              127000,            1,              39.0,          0,              28.1 ,           1
         11,        488000,            0,            30,        24.33,               87000,            2,              51.0,          0,              17.83,           0
          1,         71000,            0,            47,         9.23,                8000,            3,              39.0,          0,              11.27,           1
         10,        210000,            0,            22,         8.56,               82000,            1,              45.0,          0,              39.05,           1
         12,        146000,            0,            38,         8.99,               47000,            1,              75.0,          0,              32.19,           0
          6,        390000,            0,            32,        13.3 ,               55000,            1,              75.0,          0,              14.1 ,           1
         15,        338000,            0,            43,        17.45,               80000,            3,              80.0,          0,              23.67,           1
          2,        104000,            1,            10,         3.36,               12000,            3,              60.0,         19,              11.54,           1
         13,        268000,            0,            32,        24.07,               29000,            1,              30.0,          0,              10.82,           0
          3,        358000,            0,            43,        28.02,               41000,            3,              73.0,          0,              11.45,           1
          1,        401000,            1,             4,        25.78,              131000,            2,              66.0,         10,              32.67,           1
          9,         59000,            0,            29,         4.0 ,               14000,            1,              65.0,          0,              23.73,           1
          8,        451000,            1,            45,        17.16,              159000,            1,              41.0,         22,              35.25,           1
         12,        306000,            0,             8,        24.98,               59000,            1,              39.0,          0,              19.28,           0
          2,        415000,            0,            20,        12.29,              138000,            1,              37.0,          0,              33.25,           0
         15,        414000,            0,            47,        27.22,               51000,            2,              54.0,          0,              12.32,           1
         12,        135000,            1,             7,        26.95,               39000,            1,             102.0,         11,              28.89,           0
         11,        100000,            0,             1,         6.83,               21000,            3,              57.0,          0,              21.0 ,           1
          8,        375000,            0,            25,        16.33,               69000,            1,              54.0,          0,              18.4 ,           1
         12,        120000,            0,            26,         3.69,               41000,            2,              66.0,          0,              34.17,           1
         14,        432000,            0,             9,        10.61,               50000,            1,              40.0,          0,              11.57,           1
          9,        377000,            1,            23,        24.92,              145000,            1,              54.0,         59,              38.46,           1
          1,        429000,            0,            40,        29.33,              144000,            3,              70.0,          0,              33.57,           0
         13,        185000,            1,             2,        27.66,               38000,            1,             105.0,         27,              20.54,           1
          5,        192000,            0,            26,         4.15,               76000,            3,              45.0,          0,              39.58,           1
          8,        352000,            1,            14,        28.02,               57000,            3,              51.0,         45,              16.19,           1
         15,         64000,            0,            44,        25.21,               14000,            3,              31.0,          0,              21.88,           1
         11,        377000,            1,            31,        26.43,              138000,            1,              99.0,         33,              36.6 ,           1
         14,        426000,            0,            26,        27.7 ,              170000,            3,              27.0,          0,              39.91,           1
          2,        237000,            1,            49,        16.18,               41000,            1,              89.0,          6,              17.3 ,           1
          4,        394000,            0,            19,         8.7 ,              127000,            3,              57.0,          0,              32.23,           1
          7,        129000,            0,            38,         3.57,               25000,            2,              64.0,          0,              19.38,           0
          3,        195000,            1,             5,         3.64,               64000,            1,              51.0,         55,              32.82,           0
         13,        488000,            0,             6,        20.35,               67000,            2,              21.0,          0,              13.73,           0
         12,        494000,            1,            35,        12.11,               99000,            2,              43.0,         38,              20.04,           1
          5,        281000,            0,            16,        16.39,               34000,            2,              63.0,          0,              12.1 ,           0
          8,        470000,            0,            31,         6.55,              116000,            2,              57.0,          0,              24.68,           1
         12,        285000,            1,            18,        29.34,               88000,            1,              92.0,         10,              30.88,           1
         10,        181000,            0,            14,         6.51,               39000,            1,              44.0,          0,              21.55,           1
          3,        170000,            0,            25,        15.01,               48000,            1,              53.0,          0,              28.24,           0
          4,        468000,            1,            15,        14.97,              127000,            1,              83.0,         19,              27.14,           1
         14,        128000,            0,            26,         3.23,               24000,            1,              50.0,          0,              18.75,           1
         15,        311000,            0,            36,        21.03,               77000,            2,              80.0,          0,              24.76,           1
          9,        300000,            0,            11,        17.53,               36000,            1,              65.0,          0,              12.0 ,           0
         14,        383000,            1,            37,        16.43,               91000,            2,              82.0,         50,              23.76,           1
         14,        275000,            1,            41,        25.09,               65000,            2,              97.0,         41,              23.64,           1
          7,        173000,            1,            37,         9.51,               19000,            3,              95.0,         56,              10.98,           1
          1,        126000,            0,             7,        26.25,               32000,            3,              33.0,          0,              25.4 ,           0
         14,        329000,            0,            18,        26.35,              106000,            3,              33.0,          0,              32.22,           1
         12,        374000,            0,            20,        25.33,               88000,            1,              56.0,          0,              23.53,           1
          4,        306000,            0,             2,        12.22,               90000,            1,              46.0,          0,              29.41,           1
          4,        382000,            0,            26,         7.39,               99000,            1,              72.0,          0,              25.92,           0
          9,        114000,            0,            23,        15.83,               38000,            3,              37.0,          0,              33.33,           1
          6,        447000,            1,            32,        10.02,              114000,            2,              50.0,         59,              25.5 ,           1
          9,        312000,            1,            13,         4.41,               62000,            1,              46.0,         56,              19.87,           1
         12,        107000,            0,            13,        10.55,               37000,            2,              79.0,          0,              34.58,           0
         15,        258000,            1,            17,        15.67,               31000,            2,              55.0,         31,              12.02,           1
          6,        430000,            1,            25,         6.04,               80000,            2,              97.0,         42,              18.6 ,           1
          6,        454000,            0,            22,        28.5 ,              126000,            2,              62.0,          0,              27.75,           1
          5,        169000,            0,            27,        20.71,               60000,            2,              25.0,          0,              35.5 ,           1
          5,        370000,            0,            17,         6.68,               45000,            2,              29.0,          0,              12.16,           0
          2,         95000,            0,            26,        24.93,               12000,            2,              40.0,          0,              12.63,           1
          8,         65000,            0,            38,        28.06,               12000,            1,              36.0,          0,              18.46,           1
          8,        302000,            0,            14,        10.1 ,               61000,            1,              78.0,          0,              20.2 ,           1
         11,        363000,            1,            14,         6.87,              128000,            1,              79.0,         38,              35.26,           1
         13,        408000,            0,            12,        11.71,              158000,            3,              24.0,          0,              38.73,           0
          1,        203000,            0,             5,        25.47,               21000,            1,              52.0,          0,              10.34,           0
          8,         53000,            0,            37,         7.73,                6000,            3,              74.0,          0,              11.32,           1
          5,        266000,            0,             4,        24.04,               96000,            2,              45.0,          0,              36.09,           1
          2,         57000,            0,            29,        22.34,                8000,            3,              60.0,          0,              14.04,           1
         14,         91000,            0,            25,        20.59,               18000,            1,              66.0,          0,              19.78,           0
          2,        197000,            1,            45,        14.7 ,               36000,            1,              44.0,         38,              18.27,           1
         14,        247000,            0,             4,        12.9 ,               46000,            1,              71.0,          0,              18.62,           1
         15,        176000,            1,            16,         5.3 ,               35000,            2,              66.0,         26,              19.89,           1
         15,        312000,            0,             2,        12.65,               63000,            1,              23.0,          0,              20.19,           0
          6,         75000,            0,            23,        19.25,               21000,            1,              73.0,          0,              28.0 ,           1
         11,        115000,            0,             4,        27.25,               33000,            2,              54.0,          0,              28.7 ,           0
         13,        363000,            1,            20,        25.49,               93000,            2,              53.0,         12,              25.62,           0
          9,        114000,            1,            17,         3.87,               41000,            2,              69.0,         13,              35.96,           1
          1,        338000,            0,             6,         6.75,              120000,            3,              54.0,          0,              35.5 ,           1
         12,         75000,            0,            18,        25.91,               12000,            3,              42.0,          0,              16.0 ,           0
          6,        233000,            0,            20,        28.36,               61000,            1,              34.0,          0,              26.18,           0
          9,        130000,            1,            39,         4.51,               44000,            1,              71.0,         36,              33.85,           1
          8,         99000,            0,            45,        21.93,               36000,            1,              31.0,          0,              36.36,           0
         11,        305000,            0,            41,        12.87,               54000,            1,              35.0,          0,              17.7 ,           0
          6,        468000,            0,            34,        12.84,              116000,            1,              70.0,          0,              24.79,           1
          3,         75000,            0,            40,        20.35,               19000,            3,              34.0,          0,              25.33,           1
          8,        240000,            1,            46,        24.88,               74000,            3,              83.0,         27,              30.83,           1
          9,        368000,            0,            24,        10.42,               73000,            1,              35.0,          0,              19.84,           1
          1,        258000,            0,            18,        22.04,               49000,            3,              33.0,          0,              18.99,           1
         12,        413000,            0,            30,        20.17,              129000,            1,              35.0,          0,              31.23,           0
          9,        131000,            0,             1,        16.97,               29000,            1,              48.0,          0,              22.14,           1
         14,        482000,            0,            23,        19.27,               49000,            2,              29.0,          0,              10.17,           0
         15,        223000,            1,            29,         3.49,               85000,            2,              45.0,         22,              38.12,           1
          6,        204000,            0,            41,         3.11,               30000,            3,              65.0,          0,              14.71,           1
          6,        444000,            0,            41,        17.86,               64000,            3,              21.0,          0,              14.41,           1
         12,        304000,            0,            32,        17.15,              105000,            1,              43.0,          0,              34.54,           1
          4,        282000,            1,             2,         4.93,               57000,            3,              64.0,         57,              20.21,           1
          1,        377000,            0,            48,        16.28,               75000,            1,              74.0,          0,              19.89,           1
         10,        311000,            1,            36,        23.45,               89000,            1,              77.0,         35,              28.62,           1
          8,        123000,            0,            45,        17.61,               14000,            1,              51.0,          0,              11.38,           0
          2,        353000,            1,            17,        16.98,               60000,            3,              72.0,         28,              17.0 ,           1
         12,        110000,            0,            43,        22.38,               13000,            2,              54.0,          0,              11.82,           1
          1,        413000,            0,             2,         7.64,               77000,            3,              41.0,          0,              18.64,           1
          2,        495000,            0,             4,        15.35,              179000,            1,              62.0,          0,              36.16,           1
          1,        220000,            1,            44,         7.0 ,               82000,            1,              78.0,         32,              37.27,           1
          1,        250000,            1,            34,        17.14,               48000,            1,              71.0,         11,              19.2 ,           0
          9,         71000,            1,             1,        18.98,               11000,            2,              42.0,         35,              15.49,           0
         13,         56000,            1,            23,         6.29,                8000,            1,              55.0,         10,              14.29,           1
         14,        465000,            0,             6,         5.04,              102000,            1,              22.0,          0,              21.94,           1
          1,        108000,            0,            16,         7.5 ,               38000,            1,              63.0,          0,              35.19,           0
         13,        251000,            1,             2,        18.83,               89000,            1,              61.0,         40,              35.46,           1
          4,        417000,            1,            46,         8.12,               47000,            1,              90.0,         11,              11.27,           1
         10,        450000,            0,            12,        10.43,               73000,            1,              77.0,          0,              16.22,           0
          6,        284000,            0,            27,        21.97,               46000,            2,              68.0,          0,              16.2 ,           1
          7,        304000,            0,            19,         9.71,              106000,            3,              47.0,          0,              34.87,           1
          2,        351000,            0,            28,        13.73,               83000,            2,              39.0,          0,              23.65,           1
          6,        483000,            0,            35,        28.08,              102000,            3,              32.0,          0,              21.12,           1
          7,        321000,            0,            43,        25.27,              124000,            1,              34.0,          0,              38.63,           1
         10,        302000,            0,             4,         9.9 ,              114000,            1,              79.0,          0,              37.75,           1
         14,         57000,            1,            49,        19.13,               13000,            1,              74.0,         41,              22.81,           1
         10,         86000,            1,            49,        20.98,               12000,            1,              45.0,         15,              13.95,           1
          2,        310000,            1,             7,        27.31,               47000,            2,              39.0,         32,              15.16,           0
         15,        471000,            1,            37,        17.78,               63000,            3,              64.0,         54,              13.38,           1
          2,        440000,            0,            25,        18.15,              134000,            1,              47.0,          0,              30.45,           0
         10,        492000,            1,            41,        26.99,              131000,            1,              73.0,         10,              26.63,           1
          7,        288000,            0,            17,         4.47,               77000,            2,              69.0,          0,              26.74,           1
         12,        405000,            1,            41,        19.96,               52000,            1,              81.0,         36,              12.84,           1
          1,        428000,            0,            14,        14.25,              145000,            2,              26.0,          0,              33.88,           0
          8,        342000,            1,            37,        27.56,               89000,            3,              66.0,         28,              26.02,           1
         11,        202000,            0,             2,        28.93,               26000,            2,              56.0,          0,              12.87,           1
         13,        261000,            0,            24,         7.6 ,               85000,            3,              43.0,          0,              32.57,           1
          3,        436000,            0,            15,        10.6 ,              172000,            1,              32.0,          0,              39.45,           0
         11,        184000,            0,            48,        10.38,               43000,            1,              58.0,          0,              23.37,           1
          6,        466000,            0,            33,         5.72,               63000,            2,              56.0,          0,              13.52,           0
          9,        153000,            0,            12,        16.04,               20000,            3,              78.0,          0,              13.07,           0
          6,        387000,            1,            19,        16.85,               42000,            3,              68.0,         38,              10.85,           1
          9,        334000,            0,            47,        18.47,              111000,            1,              72.0,          0,              33.23,           1
          7,        387000,            0,             5,        20.9 ,              119000,            2,              77.0,          0,              30.75,           1
         15,        247000,            0,             1,         4.7 ,               68000,            1,              46.0,          0,              27.53,           1
          9,        470000,            0,            43,        19.81,              155000,            2,              23.0,          0,              32.98,           1
          2,        335000,            0,             9,        27.67,              134000,            2,              29.0,          0,              40.0 ,           0
         12,        180000,            0,            39,        15.28,               40000,            3,              50.0,          0,              22.22,           1
          8,        337000,            1,            34,         5.88,              105000,            2,             100.0,         43,              31.16,           1
          8,        179000,            0,            29,         5.32,               38000,            3,              59.0,          0,              21.23,           1
          2,        182000,            1,            49,        10.61,               37000,            3,              56.0,          7,              20.33,           1
         12,        230000,            1,            48,        23.32,               82000,            2,              84.0,         36,              35.65,           1
         14,        434000,            1,            48,        10.05,              118000,            2,              85.0,         55,              27.19,           0
          4,        275000,            0,            46,        24.99,               37000,            2,              22.0,          0,              13.45,           1
         14,        356000,            0,             2,        25.13,               79000,            2,              35.0,          0,              22.19,           0
         15,        226000,            0,            19,        15.34,               77000,            2,              29.0,          0,              34.07,           1
         11,        169000,            1,            28,        11.12,               65000,            1,              82.0,         40,              38.46,           1
         15,        480000,            0,            35,        19.14,              136000,            1,              73.0,          0,              28.33,           1
          7,        322000,            1,            40,        24.88,               70000,            2,              75.0,         11,              21.74,           1
         11,        470000,            0,            48,         4.74,               83000,            1,              71.0,          0,              17.66,           1
          4,        142000,            0,            22,        28.74,               32000,            2,              59.0,          0,              22.54,           0
          4,        116000,            0,             4,        20.44,               31000,            1,              59.0,          0,              26.72,           0
          6,        435000,            0,             8,        13.75,               44000,            2,              55.0,          0,              10.11,           1
         10,        356000,            1,             1,        16.66,               64000,            1,              41.0,         52,              17.98,           1
          6,        134000,            0,            36,        13.41,               40000,            3,              76.0,          0,              29.85,           1
         10,        171000,            0,             7,        14.14,               52000,            1,              41.0,          0,              30.41,           0
         15,        410000,            0,            25,        19.08,              121000,            2,              68.0,          0,              29.51,           1
          3,        254000,            0,            29,         4.63,               98000,            1,              69.0,          0,              38.58,           1
         15,        352000,            0,             1,         7.74,               95000,            2,              78.0,          0,              26.99,           1
          9,        193000,            0,            18,         9.13,               35000,            2,              40.0,          0,              18.13,           1
         12,        222000,            0,             4,        14.0 ,               76000,            1,              80.0,          0,              34.23,           1
         10,        496000,            0,            20,        13.02,              108000,            1,              38.0,          0,              21.77,           1
         14,        161000,            0,            46,        22.5 ,               28000,            1,              47.0,          0,              17.39,           1
         11,        278000,            0,             8,        10.0 ,               74000,            1,              62.0,          0,              26.62,           1
          2,        430000,            0,            27,         4.54,               80000,            1,              29.0,          0,              18.6 ,           0
          6,        158000,            1,            39,         4.5 ,               35000,            1,              50.0,         38,              22.15,           1
         12,        237000,            1,            35,         3.31,               73000,            3,              93.0,         10,              30.8 ,           1
          7,        327000,            1,            25,         4.03,              130000,            1,             105.0,         21,              39.76,           1
         12,        267000,            1,            14,        26.18,               78000,            2,              78.0,         25,              29.21,           1
         13,        257000,            0,            44,        21.83,               47000,            1,              72.0,          0,              18.29,           0
          9,        213000,            0,            47,        29.89,               27000,            3,              22.0,          0,              12.68,           1
         13,        314000,            0,            40,         3.55,               65000,            2,              55.0,          0,              20.7 ,           1
          3,        331000,            0,            31,        25.92,               35000,            1,              75.0,          0,              10.57,           1
         10,        344000,            0,             5,        21.79,               82000,            2,              61.0,          0,              23.84,           1
          3,         82000,            1,            17,        20.29,               24000,            2,              73.0,         55,              29.27,           1
          7,        334000,            0,            10,        12.63,               85000,            1,              32.0,          0,              25.45,           1
         14,        479000,            0,            43,        13.17,              172000,            2,              72.0,          0,              35.91,           1
          4,        293000,            0,            16,        25.83,               73000,            3,              72.0,          0,              24.91,           1
         13,        372000,            0,            48,        22.26,               89000,            1,              57.0,          0,              23.92,           1
          8,        301000,            0,             4,        21.1 ,               58000,            2,              46.0,          0,              19.27,           1
         13,        435000,            1,             5,         3.83,              153000,            3,              95.0,         57,              35.17,           1
          7,        468000,            0,            42,         7.98,              174000,            3,              48.0,          0,              37.18,           1
          5,        133000,            1,            46,        28.99,               52000,            2,              81.0,         19,              39.1 ,           1
          7,        247000,            1,            41,        15.27,               97000,            1,              71.0,         14,              39.27,           1
